om_nombreVia;om_longitudVia;om_tipoVia;om_tieneCodigoVia;om_puntoFinalVia_long;om_puntoFinalVia_lat;om_puntoInicioVia_lat;om_puntoInicioVia_long;om_puntoMedioVia_lat;om_puntoMedioVia_long;om_situadaEnBarrio_label
Colonia;156.17;Calle;3451;-6.388642;39.469983;39.468583;-6.389542;39.469313;-6.389092;Cabezarrubia
Mar Tirreno;129.8;Calle;3405;-6.366242;39.453383;39.453083;-6.367742;39.483915;-6.360353;Charca Musia
Juan Solano Pedrero;606.53;Calle;3643;-6.376842;39.456283;39.455083;-6.383842;39.4557;-6.380269;San Antonio (Nuevo Cáceres)
Pozo De La Esmeralda;580.11;Calle;3765;-6.383642;39.446183;39.444283;-6.389742;39.445576;-6.386772;La Cañada
Pedro Nuñez Llanos;319.56;Calle;3872;-6.358842;39.484583;39.482483;-6.361542;39.483297;-6.360098;Las Candelas
Luna;70.16;Calle;4030;-6.367042;39.473983;39.473483;-6.367642;39.473891;-6.36723;San Marquino
Arequipa;195.04;Calle;55;-6.383242;39.466383;39.464883;-6.384542;39.465664;-6.383871;El Perú
Monaco;88.77;Calle;318;-6.381042;39.473383;39.472883;-6.382042;39.473178;-6.381531;La Madrila
Puerta De Merida;82.9;Calle;399;-6.371242;39.472383;39.472083;-6.372242;39.472173;-6.371712;Santa Clara
Andres Alonso;140.54;Calle;3165;-6.362442;39.483383;39.482083;-6.362842;39.482723;-6.362607;Las Candelas
Amapola;619.56;Calle;3462;-6.398842;39.464583;39.463483;-6.405742;39.464546;-6.402311;El Junquillo
Caupolican;264.08;Calle;120;-6.377542;39.463183;39.460883;-6.378542;39.462168;-6.377877;Moctezuma
Cuauhtemoc;156.68;Calle;3079;-6.377342;39.465583;39.465283;-6.379142;39.465307;-6.378049;Moctezuma
Ana Mariscal;319.56;Calle;3663;-6.363042;39.491483;39.488983;-6.365042;39.490448;-6.363978;Mejostilla
Belgica;196.25;Calle;3430;-6.380942;39.462583;39.461583;-6.382942;39.462089;-6.381936;Los Fratres
Catedratico Antonio Silva;189.82;Calle;119;-6.376142;39.470183;39.469283;-6.378042;39.469697;-6.376978;Cánovas
Cristu Benditu;541.19;Calle;2235;-6.371742;39.458083;39.456983;-6.377142;39.457698;-6.374198;Llopis Ivorra
Rio Rhin;63.07;Calle;3468;-6.389342;39.452583;39.451883;-6.389642;39.452231;-6.389475;La Abundancia
Beata Madre Matilde;78.79;Calle;3954;-6.372042;39.463383;39.462883;-6.372842;39.463153;-6.372424;El Rodeo
Aries;947.14;Calle;3387;-6.389742;39.477383;39.475383;-6.399442;39.477193;-6.394621;R-66-A (El Arco)
Benito Arias Montano;225.27;Calle;3741;-6.363242;39.487483;39.485983;-6.365342;39.486716;-6.364282;Mejostilla
Padre Leocadio;80.05;Calle;3950;-6.373842;39.465383;39.464883;-6.374642;39.465104;-6.374222;El Rodeo
Jose Reveriego Pedrazo;127.08;Calle;4017;-6.368442;39.480183;39.479183;-6.369042;39.479795;-6.368565;San Blas
Sancho De Cabrera;238.3;Calle;3093;-6.361342;39.484383;39.482183;-6.361942;39.483858;-6.361797;Las Candelas
Azorin;148.98;Calle;4040;-6.369942;39.495283;39.493783;-6.370142;39.494566;-6.37002;Ronda
Sanguino Michel;809.72;Calle;465;-6.381142;39.468783;39.462483;-6.384842;39.465803;-6.383249;Argentina
Jose Luis Cotallo;155.06;Calle;3534;-6.379042;39.475283;39.474183;-6.380442;39.474777;-6.379716;La Madrila
Del Carmen;437.82;Ronda;3507;;;;;39.468418;-6.376561;Reyes Huertas
Emilio Cardenal Hernandez;674.47;Calle;4049;;;;;39.493263;-6.367778;Ronda
Divino Morales;72.56;Calle;161;;;;;39.48264;-6.366889;San Jorge
Constancia;176.06;Calle;142;-6.375142;39.476983;39.475683;-6.376242;39.476236;-6.375686;Casas Baratas
Moreras;67.99;Calle;329;-6.370242;39.476483;39.476283;-6.371042;39.476419;-6.370634;Santiago
Generosidad;98.96;Calle;220;-6.365342;39.474983;39.474283;-6.366242;39.474697;-6.365817;San Marquino
Concordia;303.01;Calle;1064;-6.363442;39.474483;39.473583;-6.366842;39.474177;-6.365151;San Marquino
Olmos;122.12;Calle;358;-6.371642;39.473383;39.472283;-6.372242;39.472856;-6.372047;Ciudad Monumental
Sierpes;138.64;Calle;473;-6.371742;39.471783;39.470683;-6.372942;39.471178;-6.372343;Santa Clara
Rosario;63.64;Calle;1061;-6.370942;39.469783;39.469183;-6.371442;39.469476;-6.371163;Hernández Pacheco
Olivo;30.4;Calle;357;-6.375242;39.456783;39.456483;-6.375442;39.456688;-6.375351;Las Trescientas
Santa Vera Cruz;85;Calle;1906;-6.379342;39.481283;39.480783;-6.380342;39.481015;-6.379889;Aguas Vivas
Castaño;32.97;Calle;115;-6.375342;39.457383;39.456983;-6.375542;39.457185;-6.375403;Las Trescientas
Del Limonero;38.4;Plaza;279;-6.375342;39.457083;39.456683;-6.375542;39.456907;-6.375471;Las Trescientas
El Roble;31.13;Calle;1358;-6.376142;39.456983;39.456883;-6.376642;39.456946;-6.376388;Las Trescientas
Alamo;30.01;Calle;8;-6.376242;39.457183;39.457083;-6.376642;39.457127;-6.376427;Las Trescientas
De La Bondad;821.41;Avda;578;-6.374742;39.463783;39.456583;-6.375442;39.460501;-6.375057;La Bondad
El Pinar;37.01;Calle;599;-6.374342;39.462283;39.462183;-6.374842;39.462203;-6.374621;La Bondad
Las Margaritas;485.17;Calle;3876;-6.355342;39.495583;39.494683;-6.361042;39.495119;-6.358255;Cáceres el Viejo
Las Retamas;213.5;Calle;3882;-6.357942;39.495883;39.495383;-6.360442;39.495655;-6.359212;Cáceres el Viejo
Miraflores;515.19;Calle;3874;-6.355642;39.499383;39.495083;-6.358242;39.497482;-6.356782;Cáceres el Viejo
Los Tomillos;529.53;Calle;3879;-6.359042;39.500183;39.495383;-6.360642;39.49783;-6.35978;Cáceres el Viejo
Los Abetos;94.9;Calle;3886;-6.357942;39.498483;39.497983;-6.359042;39.498233;-6.358486;Cáceres el Viejo
Los Cipreses;317.78;Calle;3925;-6.358342;39.500283;39.497383;-6.359342;39.498826;-6.358847;Cáceres el Viejo
Los Lirios;164.57;Calle;3881;-6.355042;39.495783;39.495183;-6.356842;39.495375;-6.356025;Cáceres el Viejo
Las Adelfas;320.67;Calle;3880;-6.356342;39.496983;39.495483;-6.358342;39.495677;-6.357839;Cáceres el Viejo
Los Abedules;182.78;Calle;3885;-6.354342;39.497383;39.496783;-6.356442;39.497239;-6.355221;Cáceres el Viejo
Los Almendros;171.91;Calle;3887;-6.354542;39.498783;39.497183;-6.355142;39.498042;-6.354842;Cáceres el Viejo
Los Sauces;424.22;Calle;3888;-6.355042;39.499083;39.497183;-6.359442;39.49819;-6.357011;Cáceres el Viejo
De Armas;93.63;Plaza;2131;-6.373142;39.479383;39.478983;-6.373642;39.479174;-6.373367;San Justo
De La Fe;124.8;Plaza;2189;-6.375542;39.458083;39.457683;-6.376442;39.458037;-6.376033;Las Trescientas
Cigüeña;118.53;Calle;3333;-6.392542;39.452183;39.451883;-6.393942;39.452054;-6.393223;La Paloma
Golondrina;139.65;Calle;3335;-6.392342;39.452483;39.452183;-6.394042;39.452332;-6.393167;La Paloma
Tortola;138.48;Calle;3336;-6.392442;39.452383;39.452083;-6.394142;39.452216;-6.393194;La Paloma
Jilguero;138.79;Calle;3339;-6.392242;39.452883;39.452583;-6.393942;39.452691;-6.393083;La Paloma
Paloma;65.4;Calle;3342;-6.392242;39.452883;39.452683;-6.393042;39.452824;-6.392614;La Paloma
Artesanos;154.72;Calle;3488;-6.387242;39.452983;39.452483;-6.389042;39.452743;-6.388201;La Abundancia
Tolerancia;277.22;Calle;3759;-6.355642;39.493283;39.493083;-6.358942;39.493177;-6.357201;Mejostilla
Doña Teresa;337.76;Calle;2477;-6.390642;39.446483;39.443383;-6.391342;39.445058;-6.390975;Sierra de San Pedro
Los Tilos;362.08;Calle;3889;-6.354842;39.499283;39.497883;-6.358742;39.498532;-6.356614;Cáceres el Viejo
Los Fresnos;318.6;Calle;3890;-6.354742;39.499583;39.498283;-6.358142;39.498982;-6.356597;Cáceres el Viejo
Las Violetas;373.35;Calle;3877;-6.353942;39.500383;39.498283;-6.357642;39.499415;-6.355825;Cáceres el Viejo
Los Enebros;181.2;Calle;3892;-6.356642;39.499883;39.498283;-6.357642;39.499058;-6.357152;Cáceres el Viejo
Los Laureles;77.38;Calle;3891;-6.356142;39.499683;39.498983;-6.356642;39.499302;-6.356399;Cáceres el Viejo
Los Espliegos;93.64;Calle;3893;-6.357142;39.500183;39.499283;-6.357642;39.499739;-6.357371;Cáceres el Viejo
Las Zarzamoras;137.52;Calle;3894;-6.357642;39.500283;39.499083;-6.358442;39.49969;-6.358012;Cáceres el Viejo
Los Romeros;430.11;Calle;3875;-6.353942;39.498383;39.494683;-6.355442;39.496747;-6.354577;Cáceres el Viejo
De La Estacion;420.76;Avda;3775;-6.533942;39.467683;39.465583;-6.537942;39.466821;-6.535728;Estación Arroyo-Malpartida
Patio De Viajeros;212.61;Plaza;3778;-6.533842;39.468383;39.467683;-6.534642;39.467856;-6.534402;Estación Arroyo-Malpartida
Buscarruidos;121.9;Calle;89;-6.364442;39.475683;39.474883;-6.365642;39.475255;-6.365017;San Marquino
Jareque;459.88;Barro;4026;-6.536442;39.467783;39.465683;-6.538042;39.466781;-6.536811;Estación Arroyo-Malpartida
Barrio Antiguo;113.84;Calle;3564;-6.531942;39.469483;39.468883;-6.533042;39.469348;-6.532582;Estación Arroyo-Malpartida
Charca Del Oso;322.4;Calle;3938;-6.368742;39.485983;39.485683;-6.372542;39.485857;-6.370523;Montesol
El Juncal;370.15;Calle;3942;-6.367842;39.485883;39.483483;-6.370942;39.484605;-6.369314;Montesol
La Higuerilla;439.68;Calle;3939;-6.370342;39.489883;39.485783;-6.370842;39.487894;-6.370562;Montesol
Barreron;135.69;Calle;3935;-6.367242;39.484883;39.483883;-6.368442;39.484372;-6.3678;Montesol
San Juan Del Puerto;423.96;Calle;3752;-6.383042;39.421983;39.418183;-6.384642;39.420185;-6.383772;Ceres Golf
Corvilla;129.27;Calle;3936;-6.368442;39.485683;39.484683;-6.369542;39.485184;-6.369025;Montesol
Sanchez;73.86;Calle;3234;-6.374442;39.474583;39.474183;-6.375242;39.474465;-6.373497;San Juan
Cueva De Tibiran;104.87;Calle;4062;-6.371642;39.454383;39.453483;-6.372342;39.453953;-6.371945;Maltravieso
Ribera De Caceres;65.51;Calle;3947;-6.368442;39.488283;39.488183;-6.369342;39.488217;-6.368911;Montesol
Del Alba;168.95;Calle;3927;-6.357042;39.494083;39.493083;-6.358942;39.49344;-6.358098;Mejostilla
De La Luz;217.58;Calle;3926;-6.356042;39.493783;39.491783;-6.356242;39.492838;-6.356167;Mejostilla
Pozo De La Nieve;337.38;Avda;3932;-6.368442;39.488883;39.485683;-6.368842;39.487462;-6.368602;Montesol
Los Geranios;143.15;Calle;3884;-6.359242;39.497483;39.496083;-6.359742;39.496805;-6.359482;Cáceres el Viejo
Del Peral;34.29;Plaza;2528;-6.376342;39.456883;39.456583;-6.376542;39.456683;-6.376328;Las Trescientas
Madre De La Ribera;478.25;Calle;3957;-6.365342;39.466183;39.463383;-6.367642;39.465382;-6.365424;San Francisco
De La Cebada;147.94;Calle;3960;-6.357642;39.498582999999996;39.497183;-6.358142;39.497868;-6.357907;Cáceres el Viejo
De Las Magnolias;162.7;Calle;3981;-6.358342;39.496283;39.495183;-6.359542;39.495862;-6.359239;Cáceres el Viejo
Alondra;82.44;Calle;3327;-6.392842;39.452083;39.451883;-6.393842;39.451948;-6.39332;La Paloma
La Perdiz;92.15;Calle;3341;-6.392542;39.451883;39.451683;-6.393742;39.451757;-6.393211;La Paloma
Barrio San Jose;96.15;Calle;758;-6.530842;39.470383;39.469683;-6.531742;39.470032;-6.531268;Estación Arroyo-Malpartida
Las Abubillas;172.28;Calle;4090;-6.374142;39.489883;39.489683;-6.376142;39.489844;-6.375104;Montesol
Las Aguilas;629.44;Calle;4088;-6.372242;39.488383;39.487883;-6.379642;39.488132;-6.375494;Montesol
Las Ocas;340.06;Calle;4093;-6.372342;39.487783;39.487383;-6.376342;39.487585;-6.374399;Montesol
Las Grullas;633.69;Calle;4091;-6.372342;39.487483;39.486983;-6.379842;39.48718;-6.375635;Montesol
Los Cormoranes;340.77;Calle;4098;-6.372442;39.486783;39.486483;-6.376442;39.486632;-6.374493;Montesol
Los Milanos;788.5;Calle;4097;-6.372442;39.488383;39.485883;-6.379842;39.486311;-6.377423;Montesol
Los Gavilanes;417.87;Calle;4096;-6.372542;39.486183;39.485383;-6.377242;39.485563;-6.375021;Montesol
Los Alimoches;476.4;Calle;4087;-6.374142;39.489883;39.485483;-6.374642;39.487585;-6.374399;Montesol
Los Halcones;465.55;Calle;4095;-6.376842;39.490183;39.486083;-6.377242;39.488166;-6.377016;Montesol
Los Cernicalos;201.05;Calle;4089;-6.377942;39.488283;39.486383;-6.378242;39.487613;-6.378072;Montesol
De La Gloria;58.41;Calle;224;-6.369142;39.474983;39.474383;-6.369542;39.474705;-6.36935;Ciudad Monumental
De La Monja;99.84;Calle;3170;-6.370842;39.473883;39.472983;-6.371242;39.473437;-6.371025;Ciudad Monumental
Del Moral;104.57;Cllon;1557;-6.369042;39.473583;39.472983;-6.369642;39.48264;-6.366889;Ciudad Monumental
Armonia;120.14;Calle;60;-6.364442;39.474783;39.474183;-6.365742;39.474458;-6.365186;San Marquino
Fuente Santa;203.43;Calle;4152;-6.392542;39.445183;39.443383;-6.393442;39.444301;-6.393362;Río Tinto
Camino De Santa Lucia;368.63;Calle;4148;-6.390742;39.445083;39.443883;-6.394642;39.444249;-6.393073;Río Tinto
La Perla;216.03;Calle;4155;-6.393442;39.448183;39.446583;-6.395142;39.447403;-6.394315;Río Tinto
Demasia;216.06;Calle;4154;-6.392942;39.447883;39.446183;-6.394542;39.44703;-6.393736;Río Tinto
De La Caridad;51.72;Plaza;1378;-6.375342;39.458483;39.458083;-6.375742;39.458217;-6.375631;Las Trescientas
Nogal;25;Plaza;349;-6.375942;39.456983;39.456783;-6.376242;39.456894;-6.376099;Las Trescientas
Encina;161.29;Calle;175;-6.376742;39.480183;39.478983;-6.378142;39.479547;-6.377503;Aguas Vivas
Los Trigales;720.32;Calle;3878;-6.357542;39.500383;39.495483;-6.361142;39.497997;-6.36039;Cáceres el Viejo
Las Codornices;164.85;Calle;4086;-6.374142;39.489383;39.489183;-6.376242;39.489286;-6.375137;Montesol
Los Riberos;324.39;Calle;3933;-6.368442;39.489183;39.488783;-6.372242;39.488988;-6.370346;Montesol
Los Jazmines;98.62;Calle;3883;-6.359142;39.496383;39.495983;-6.360342;39.496179;-6.35968;Cáceres el Viejo
Amistad;119.63;Calle;29;-6.364742;39.475383;39.474483;-6.365842;39.474902;-6.365309;San Marquino
Cerezo;92.99;Calle;123;-6.375342;39.456783;39.456583;-6.376542;39.4567;-6.375886;Las Trescientas
Castellar;279.09;Calle;3900;-6.367742;39.495983;39.494583;-6.370642;39.495251;-6.369215;Gredos
Del Amor;96.1;Plaza;1307;-6.375242;39.457883;39.457583;-6.375842;39.457729;-6.375556;Las Trescientas
De Las Camelias;259.63;Calle;3982;-6.356342;39.497383;39.496183;-6.358342;39.497198;-6.356944;Cáceres el Viejo
Bellavista;95.23;Calle;3565;-6.375542;39.467583;39.466883;-6.376342;39.467224;-6.375967;Reyes Huertas
Primero De Mayo;;Plaza;3231;-6.389342;39.451783;39.450683;-6.390042;39.451262;-6.389627;La Abundancia
Bruselas;;Plaza;88;-6.380342;39.472783;39.472283;-6.380942;39.472555;-6.38066;La Madrila
De Argel;;Plaza;56;-6.375542;39.479983;39.479483;-6.376242;39.47979;-6.375901;Aguas Vivas
De Santa Clara;;Plaza;2552;-6.371342;39.472183;39.471583;-6.372042;39.471809;-6.371563;Santa Clara
Candeleda;;Calle;3904;-6.366242;39.497883;39.496483;-6.369142;39.49719;-6.367712;Gredos
Viviendas De Camineros;;Calle;2387;-6.393542;39.473483;39.472483;-6.395142;39.472796;-6.394169;El Vivero
Mercurio;;Calle;4177;-6.364842;39.474083;39.473183;-6.366742;39.473651;-6.365752;San Marquino
Silleros;304.23;Calle;4001;-6.421342;39.488483;39.485783;-6.422542;39.487154;-6.421966;
Molineros;726.05;Calle;3992;-6.415342;39.490283;39.488083;-6.423642;39.489205;-6.419403;
Toneleros;882.28;Calle;3999;-6.415042;39.489583;39.481983;-6.418342;39.485641;-6.416698;
Herreros;742.36;Calle;3993;-6.414242;39.487583;39.485483;-6.422642;39.486521;-6.418595;
Maestro Sanchez Garrido;41.23;Calle;294;-6.372442;39.474383;39.474083;-6.372842;39.47423;-6.372646;
Alpargateros;407.7;Calle;4000;-6.418342;39.486283;39.482683;-6.419842;39.484341;-6.419036;
Labradores;601.03;Calle;4002;-6.421242;39.497383;39.483083;-6.424642;39.490171;-6.423925;
Tejedores;719.15;Calle;3995;-6.413342;39.485183;39.483083;-6.421342;39.48415;-6.417311;
Poceros;231.81;Calle;3997;-6.412442;39.482683;39.481983;-6.415142;39.482314;-6.413728;
Hilanderas;884.15;Calle;3998;-6.412342;39.492583;39.482583;-6.417942;39.487552;-6.414336;
Adarve De Santa Ana;78.45;Calle;2;-6.371542;39.474283;39.473583;-6.372142;39.473905;-6.371798;
De La Universidad;2606.91;Avda;3425;-6.340042;39.482383;39.475983;-6.367642;39.478652;-6.353148;
Thomas Alva Edison;243.19;Calle;4129;-6.370242;39.507283;39.505483;-6.372042;39.506359;-6.371238;
Guillermo Marconi;245.43;Calle;4127;-6.368742;39.506283;39.504483;-6.370542;39.505404;-6.369634;
Hermanos Lumiere;230.8;Calle;4126;-6.368042;39.505783;39.503983;-6.369742;39.504901;-6.368897;
Miguel Servet;225.12;Calle;4125;-6.367342;39.505283;39.503583;-6.369042;39.504416;-6.368148;
Isaac Peral;224.7;Calle;4124;-6.366542;39.504783;39.503083;-6.368242;39.503965;-6.367363;
Juan De La Cierva;231.88;Calle;4123;-6.365742;39.504383;39.502683;-6.367442;39.503551;-6.366553;
Nicolas Copernico;242.74;Calle;4122;-6.364842;39.503983;39.502183;-6.366642;39.503144;-6.365719;
Claudio Ptolomeo;259.7;Calle;4121;-6.363942;39.503683;39.501683;-6.365842;39.502747;-6.364874;
Leonardo Da Vinci;765.76;Calle;4132;-6.363042;39.507283;39.503083;-6.370342;39.504937;-6.366884;
Albert Einstein;422.9;Calle;4130;-6.364442;39.502283;39.499583;-6.367342;39.500913;-6.366652;
Arquimedes;856.12;Calle;4131;-6.364142;39.505583;39.500783;-6.372042;39.503128;-6.368174;
Pitagoras;249.67;Calle;4128;-6.369442;39.506783;39.504883;-6.371342;39.505907;-6.37036;
Severo Ochoa;748.63;Calle;4120;-6.362742;39.504483;39.495383;-6.365942;39.49964;-6.364503;
Esquiladores;880.52;Calle;3994;-6.413742;39.486383;39.483483;-6.423242;39.485229;-6.418434;
De Las Piñuelas;;Plaza;3174;-6.371642;39.474283;39.474083;-6.372142;39.474212;-6.371856;
Turno De Oficio;;Calle;4205;-6.369342;39.462983;39.462083;-6.372442;39.462932;-6.370607;
De Los Caldereros;;Plaza;3322;-6.371142;39.474283;39.474083;-6.371542;39.474174;-6.371358;
Gabriel Y Galan;58.63;Calle;201;-6.370342;39.475983;39.475483;-6.370942;39.475805;-6.370599;
Del Mono;65.51;Calle;1856;-6.370642;39.474183;39.473783;-6.371442;39.474013;-6.371004;
San Benito;66.42;Calle;4074;-6.369942;39.477083;39.476683;-6.370742;39.476907;-6.370313;
Grecia;130.1;Calle;3427;-6.381842;39.462183;39.460983;-6.382642;39.46161;-6.382291;
Uruguay;185.14;Calle;3617;-6.373742;39.460383;39.458583;-6.374142;39.459458;-6.373934;
Justino Burgos Gonzalez;126.95;Calle;3919;-6.349242;39.475283;39.475083;-6.350842;39.475167;-6.350025;
Jose Maria Garcia Lafuente;357.65;Calle;3917;-6.349642;39.474983;39.474583;-6.353842;39.474828;-6.351747;
Jose Antonio Fernandez Ordoñez;448.04;Calle;3918;-6.353942;39.475083;39.473283;-6.356542;39.474358;-6.356449;
Pedro De Lorenzo;136.31;Calle;3378;-6.396142;39.473083;39.472383;-6.397642;39.472766;-6.396879;
Cazorla;27.95;Calle;3602;-6.390042;39.471583;39.471183;-6.390242;39.47139;-6.390142;
Coimbra;204.43;Calle;3443;-6.389642;39.470383;39.469383;-6.391642;39.470033;-6.390704;
Florencia;214.95;Calle;3448;-6.386342;39.469783;39.467883;-6.387442;39.468867;-6.386889;
Mar Rojo;110.11;Calle;3730;-6.369942;39.452483;39.452183;-6.371242;39.452365;-6.37061;
Mar De Bering;364.83;Calle;3731;-6.369742;39.453983;39.450783;-6.370542;39.452405;-6.369993;
Mar De Aral;271.44;Calle;3403;-6.367842;39.451683;39.449683;-6.369642;39.450638;-6.368769;
Mar Adriatico;82.9;Calle;3407;-6.366042;39.452683;39.452383;-6.367042;39.452525;-6.366548;
Luis Bravo Hernandez;109.19;Calle;3471;-6.392242;39.452783;39.451783;-6.392642;39.452324;-6.3924;
Tunez;711.96;Calle;3641;-6.382042;39.461083;39.455583;-6.383842;39.458424;-6.38363;
Proserpina;74.31;Calle;3774;-6.385242;39.445983;39.445183;-6.385642;39.445564;-6.385448;
San Eugenio;74.65;Calle;2493;-6.391042;39.444583;39.444383;-6.392042;39.444467;-6.391543;
Oviedo;74.8;Calle;3582;-6.390942;39.444983;39.444783;-6.391942;39.444834;-6.391436;
Labradoras;74.79;Calle;1094;-6.390942;39.445283;39.445083;-6.391842;39.445193;-6.391365;
De La Abundancia;208.63;Calle;3470;-6.391542;39.446383;39.444483;-6.392042;39.445481;-6.391761;
Jarandilla;46.06;Calle;2495;-6.386242;39.446783;39.446383;-6.386742;39.446579;-6.386491;
Arroyo De La Luz;43.8;Calle;61;-6.386842;39.446683;39.446283;-6.387242;39.446465;-6.387041;
Cañamero;201.95;Calle;3848;-6.386642;39.448183;39.446883;-6.388442;39.447557;-6.387547;
Alonso De Ojeda;143.83;Calle;1235;-6.346242;39.376783;39.376283;-6.347942;39.376498;-6.347087;
Cabeza De Vaca;402.69;Calle;796;-6.348142;39.379283;39.376783;-6.350442;39.377729;-6.350094;
Vasco Nuñez De Balboa;163.75;Calle;984;-6.348242;39.378683;39.378383;-6.350242;39.378528;-6.349181;
Francisco Pizarro;147.78;Calle;1350;-6.346142;39.377983;39.376683;-6.346542;39.377346;-6.346324;
De La Compañía;86.3;Custa;3570;-6.370342;39.473783;39.472983;-6.370942;39.473401;-6.370655;
Ovando;161.29;Calle;999;-6.391742;39.196283;39.194983;-6.392542;39.195624;-6.392115;
Pizarro;132.05;Calle;3120;-6.393042;39.196383;39.195383;-6.393942;39.196114;-6.393474;
La Palacina;245.31;Calle;3907;-6.362342;39.472983;39.472683;-6.365242;39.47284;-6.363795;
Del Casar;6881.36;Ctra;2271;-6.379342;39.538383;39.481183;-6.408542;39.483405;-6.380787;
De Badajoz;37052.48;Ctra;4006;-6.379542;39.445583;39.184883;-6.600642;39.444547;-6.386276;
De Trujillo;23167.83;Ctra;514;-6.089142;39.476083;39.435583;-6.340142;39.474832;-6.33853;
De Torrejon El Rubio;13860.26;Ctra;4020;-6.298842;39.590783;39.492783;-6.354942;39.493245;-6.353861;
Manuel Redondo Felipe;98.66;Calle;3949;-6.349142;39.475483;39.475283;-6.350342;39.475358;-6.349715;
Arroyo De Valhondo;606.61;Calle;3983;-6.338042;39.474283;39.469383;-6.341242;39.471908;-6.339467;
Ursula Iguaran;173.05;Calle;3969;-6.402542;39.470483;39.469183;-6.403942;39.469908;-6.403204;
"Remedios ""la Bella""";146.24;Calle;3974;-6.401642;39.469983;39.468583;-6.402242;39.46924;-6.401927;
Remedios Buendia;596.14;Calle;3964;-6.400142;39.473683;39.468383;-6.401742;39.470789;-6.400707;
"Melquiades ""el Gitano""";87.4;Calle;3967;-6.402342;39.471583;39.470983;-6.403242;39.471314;-6.402838;
Pilar Ternera;89.25;Calle;3968;-6.401942;39.471183;39.470483;-6.402642;39.470807;-6.402299;
Maria Pita;84.99;Calle;3977;-6.375042;39.482583;39.481783;-6.375542;39.482193;-6.375392;
Clara Campoamor;75.35;Calle;3980;-6.372742;39.481583;39.480883;-6.373342;39.48121;-6.372965;
Caparra;183.83;Calle;3989;-6.372442;39.448683;39.447883;-6.374542;39.448329;-6.373411;
La Calzada;398.3;Calle;3991;-6.369342;39.447783;39.446983;-6.373942;39.447379;-6.371634;
Puente De La Mocha;125.78;Calle;3987;-6.373142;39.448283;39.447083;-6.373842;39.44769;-6.373447;
De Los Miliarios;779.01;Avda;3984;-6.369342;39.454083;39.447683;-6.373142;39.450973;-6.37122;
Baños De Montemayor;202.68;Calle;4051;-6.372642;39.453583;39.452683;-6.374842;39.453139;-6.373765;
De Santo Domingo;66.39;Plzla;3599;-6.372042;39.476383;39.476183;-6.372342;39.476264;-6.372151;
Del Palancar;102.45;Custa;4013;-6.373642;39.468783;39.467983;-6.374442;39.468316;-6.374031;
Santa Eulalia;74.05;Calle;3477;-6.390642;39.446383;39.446183;-6.391642;39.446324;-6.391195;
Cañada;415.33;Calle;4019;-6.385642;39.452283;39.448583;-6.387142;39.450344;-6.38685;
De Merida;18082.92;Ctra;2564;-6.323542;39.445583;39.295083;-6.380042;39.435547;-6.375053;
Cueva Font De Gaume;153.44;Calle;4068;-6.370842;39.453883;39.453183;-6.372542;39.453533;-6.37167;
Cueva Del Escoural;123.99;Calle;4071;-6.367342;39.457183;39.456083;-6.368142;39.456651;-6.367764;
Vicente Aleixandre;212.56;Calle;4036;-6.369442;39.493983;39.493783;-6.371942;39.493878;-6.370639;
Camilo Jose Cela;223.7;Calle;4037;-6.368042;39.493083;39.492883;-6.370742;39.492956;-6.369325;
Valle-inclan;134.86;Calle;4041;-6.370042;39.492983;39.491683;-6.370242;39.492379;-6.370114;
Antonio Machado;364.36;Calle;4043;-6.368242;39.492683;39.490883;-6.372042;39.491768;-6.370149;
Pablo Ruiz Picasso;62.03;Calle;4045;-6.366342;39.494283;39.493883;-6.367042;39.494058;-6.366667;
Salvador Dali;68.49;Calle;4047;-6.367342;39.492983;39.492583;-6.368142;39.492767;-6.367716;
Arco De Santa Ana;39.09;Calle;4073;-6.371642;39.473583;39.473383;-6.372142;39.473474;-6.371873;
Rio Salor;448.7;Calle;3371;-6.402942;39.479683;39.475983;-6.404642;39.477736;-6.403575;
De Salamanca;7718.49;Ctra;454;-6.401942;39.537583;39.474683;-6.434142;39.481145;-6.410203;
Trafalgar;89.99;Calle;1744;-6.374042;39.464383;39.463983;-6.375142;39.464248;-6.374614;
Mozart;1101.72;Calle;4102;-6.360742;39.457783;39.450983;-6.366742;39.455478;-6.361707;
Padre Eladio Mozas;271.1;Calle;3626;-6.383942;39.468183;39.466883;-6.384742;39.467513;-6.384371;
Viena;297.52;Calle;532;-6.380642;39.473783;39.471383;-6.382042;39.472466;-6.381907;
Vicente Barrantes;103.15;Calle;531;-6.377942;39.476883;39.475983;-6.378742;39.476412;-6.378306;
Arco De La Estrella;114.24;Calle;2440;-6.370442;39.474983;39.474583;-6.371742;39.474895;-6.370959;
Sinai;37.72;Calle;2354;-6.367542;39.475383;39.475183;-6.368042;39.475282;-6.367771;
De Juan De Borbon Y Battenberg;399.28;Paseo;3745;-6.389142;39.473783;39.472583;-6.392242;39.473148;-6.390588;
Pedro De Valdivia;145.69;Calle;1354;-6.347042;39.377783;39.376483;-6.347542;39.37717;-6.347306;
De Medellin;11174.3;Ctra;2848;-6.263542;39.456183;39.397483;-6.368142;39.44663;-6.356476;
Francisco Tarrega;322.42;Calle;4113;-6.360742;39.454383;39.451983;-6.363142;39.453273;-6.362186;
