om_nombreVia;om_longitudVia;om_tipoVia;om_tieneCodigoVia;om_puntoFinalVia_long;om_puntoFinalVia_lat;om_puntoInicioVia_lat;om_puntoInicioVia_long;om_puntoMedioVia_lat;om_puntoMedioVia_long;om_situadaEnBarrio_label
Niza;83.48;Calle;347;-6.380442;39.473183;39.472483;-6.381142;39.472772;-6.38071;La Madrila
San Juan De Dios;110.51;Calle;1285;-6.380042;39.472583;39.471783;-6.381142;39.472202;-6.380603;La Madrila
Venecia;83.56;Calle;528;-6.380842;39.473283;39.472583;-6.381442;39.472944;-6.38111;San Justo
Santa Barbara;63.15;Calle;1419;-6.374842;39.472783;39.472283;-6.375442;39.472511;-6.375117;San Juan
San Vicente;59.89;Calle;451;-6.375042;39.472583;39.472183;-6.375642;39.472391;-6.375366;San Juan
Santa Apolonia;52.54;Calle;1833;-6.375342;39.472483;39.471983;-6.375842;39.472224;-6.375569;Virgen de la Montaña
Aperadores;43.57;Calle;50;-6.375742;39.472083;39.471683;-6.376242;39.471881;-6.375943;Virgen de la Montaña
Carreteros;32.79;Calle;111;-6.375642;39.472183;39.471783;-6.375942;39.471985;-6.375753;Virgen de la Montaña
Diego Maria Crehuet;289.29;Calle;159;-6.373242;39.471883;39.469983;-6.375642;39.470921;-6.374503;Virgen de la Montaña
Colon;157.96;Calle;134;-6.372842;39.470883;39.469383;-6.373542;39.470117;-6.373231;Virgen de la Montaña
Linares;75.55;Calle;280;-6.381842;39.468483;39.467783;-6.382442;39.468174;-6.382126;Argentina
Obispo Jesus Dominguez;133.08;Calle;3400;-6.381342;39.470183;39.469183;-6.382442;39.469685;-6.382034;Virgen de Guadalupe
Gomez Becerra;331.89;Calle;227;-6.378842;39.469983;39.469083;-6.382442;39.469309;-6.380514;Cánovas
Motril;81.41;Calle;331;-6.379042;39.470383;39.469783;-6.379842;39.470174;-6.379354;Cánovas
Hermandad;150.48;Calle;234;-6.380542;39.469883;39.468383;-6.381042;39.469244;-6.380854;Cánovas
Profesor Rodriguez Moñino;97.73;Calle;3539;-6.377342;39.469583;39.469083;-6.378442;39.469293;-6.377842;Cánovas
Maluquer;137.21;Calle;1135;-6.376742;39.469683;39.468683;-6.377942;39.469147;-6.377347;Cánovas
Virgen Del Pilar;136.63;Calle;542;-6.374242;39.469883;39.468883;-6.375442;39.469397;-6.374862;Reyes Huertas
Leon Leal;316.46;Calle;276;-6.374942;39.470283;39.468283;-6.377542;39.469328;-6.376166;Reyes Huertas
Alvaro Lopez Nuñez;268.14;Calle;24;-6.374542;39.469183;39.468383;-6.376842;39.469132;-6.37586;Reyes Huertas
Virgen Del Rocio;33.06;Calle;2804;-6.377342;39.479883;39.479583;-6.377742;39.479772;-6.377518;Aguas Vivas
Aguas Vivas;79.21;Calle;5;-6.376342;39.479683;39.479283;-6.377142;39.479582;-6.376688;Aguas Vivas
Reñidero De Gallos;86.15;Calle;1120;-6.376242;39.480283;39.479483;-6.376642;39.479847;-6.376445;Aguas Vivas
Ramon Y Cajal;280.51;Avda;3409;-6.374942;39.482483;39.480183;-6.376342;39.48127;-6.375613;Paseo Alto
Viriato;111.02;Calle;543;-6.377442;39.476183;39.475583;-6.378642;39.475846;-6.378002;Casas Baratas
